,text
0,"Quiénes nos endeudaron, ahora que hay #AcuerdoconelFMI quieren la letra chica. Macri nos endeudó y no leímos letra chica ni grande, menos en el Congreso. Dan pena. https://t.co/slYKwjv1sP"
1,"#LaLetraChica
#AcuerdoconelFMI 
#ElPeorPresidenteDeLaHistoria el Parrilli 2 de Cristina apareció anunciando otra sarasa de la PATRONA https://t.co/cacBzMobem"
2,#AcuerdoconelFMI https://t.co/O8c2tKCCKy
3,"@Solanopo Macri también te tiene carpeteado, sino no se comprende tanta estupidez.
#AcuerdoconelFMI"
4,"⭕ @AlbertoDescalzo, @FerEspinozaOK y @marielfmoreno1, voces de intendentes bonaerenses que ponderaron el #AcuerdoconelFMI 👉 https://t.co/6GAAsVkghh"
5,"⭕ Descalzo, Espinoza y Mariel Fernández, voces de intendentes bonaerenses que ponderaron el #AcuerdoconelFMI 👉 https://t.co/oFx7kMOjRb"
6,"#AcuerdoconelFMI tuvieron que arrodillarse ante el FMI,lo festejan en nombre de los pobres,para aliviar las cargas al Estado dicen,justifican y se mienten así https://t.co/WNOrspvqie hay plan,nunca lo hubo ni tampoco intención de pagar.El FMI les dijo pagan o pagan!!"
7,"""El trabajador/a necesita vivir y ha sido despedido. El empleador no tiene ningún problema y se la hace larga con estos grandes estudios jurídicos amparados por los jueces hasta que pueden llegar a un arreglo que le convenga a la empresa"" señaló @jramospadilla 
 #AcuerdoconelFMI https://t.co/MiKkVRJtVr"
8,"#1FMarchamosALaCorte I @jramospadilla
🗣️""La persecución que hay hacia los trabajadores es innegable. ¿Cuánto le tarda un juicio a un trabajador/a? Cómo se especula con los tiempos cuando un trabajador va a reclamar un derecho cuando va a cobrar"". 

 #AcuerdoconelFMI https://t.co/lICWDOiOfG"
9,"Hoy es el día en que los macristas aprueban su tesis de pelotudez con 10 sobresaliente

#FMI #AcuerdoconelFMI"
10,@rodenasale @FrenteDeTodos #AcuerdoconelFMI 🇦🇷 Adelante Argentina!
11,"Cuando no pedías ver la letra chica
#AcuerdoconelFMI https://t.co/UHEgc3TE9C"
12,Leo gente enojada porque el acuerdo con el Fondo no contempla bajar el gasto !! #AcuerdoconelFMI
13,"#AcuerdoconelFMI 
#MacrismoNuncaMás https://t.co/jRPHCFbbwH"
14,"Es un placer para los que hemos recibido la descarga y el odio de esta dictadura infodemia asquerosa que el vende Patria sea un Feminista pañuelo verde y peronista. 
#BuenViernes 
NO al #AcuerdoconelFMI 
#NoAlFMI https://t.co/aEmz0j51m9"
15,"El #AcuerdoconelFMI nos trae alivio como Nación, para generar confianza Internacional. 
Sacar un préstamo no tiene nada de malo, siempre y cuando solucionar problemas de fondo sobre, educación, salud, infraestructura, emprendimientos, y fondos de inversión en el sector privado."
16,"Estas en contra del #AcuerdoconelFMI 

A que bolsa de inviables perteneces?"
17,"#1FMarchamosALaCorte I🗣️ @jramospadilla ""Desde la primera Corte, el Presidente le escribía a Lavalle dándole instrucciones de cómo tenía que hacer para fusilar a Dorrego. Hoy está la Plaza Lavalle en frente de ese Palacio de Justicia, donde reina la hipocresía""

#AcuerdoconelFMI https://t.co/tAA2NvO0vI"
18,"Convengamos q nada q huela a FMI es bueno. Ningún #AcuerdoConElFMI debe ser motivo de festejo. Pero seamos pragmáticos y no nos vayamos a los extremos. X eso, quiero pensar q es uno de los menos malos arreglos q se pudo alcanzar. Y x eso extiendo mi voto de confianza.
#HayAcuerdo"
19,"Los funcionarios del FMI sacándose el muerto de encima por dos años (si aguanta) y buscando aterrizar en otro organismo antes que explote el default. 
#AcuerdoconelFMI https://t.co/MT5xw2qGX8"
20,"El #AcuerdoconelFMI socavará los últimos apoyos que le van quedando al Kirchnerato en la izquierda troska y la pseudoizquierda juvenil 

Solo les quedarán Ricardito y Leopoldo 
🤣🤣🤣🤣 (no se aceptan devoluciones)

#GobiernoTerminado
#PeronismoEnRuinas"
21,"#AcuerdoconelFMI. No se de que se jactan, estamos de rodillas, completamente😞"
22,El diputado menos vendepatria que hay en el congreso #AcuerdoconelFMI https://t.co/edkZkU1Ixo
23,Dos gigantes de reforma #FelizViernesATodos #Tlaxcala #Cdxm #CiudadDeMexico #fotografia #Falcon #MarvelStudios #Metaverse #Memes #AcuerdoconelFMI #Spotifydeleted #FIFA22 #FMI #Nacionales https://t.co/tNy6OWzJNI
24,"Están pagando la deuda del gato 😸.

#AcuerdoconelFMI"
25,"Hoy el gobierno nacional del Frente de Todos convalidó la estafa macrista y firmó #AcuerdoconelFMI. Alberto Fernandez declaró ""este acuerdo no nos condiciona"". Miente. Sin grieta alguna pretenden que los trabajadores paguemos su fiesta. Al FMI lo enfrentamos en las calles. https://t.co/9Bo9AdQEHN"
26,"Para seguir en la senda del crecimiento económico, la generación de empleo y que podamos reducir la pobreza estructural de manera cierta y continua... El #AcuerdoconelFMI permite alivia lar cargas para el Estado Argentino https://t.co/9bC3HcOL5y"
27,"@LoreLau6 Porque a la cárcel solo van los delincuentes pobres y víctimas del #lawfare.

Debe ser juzgado como Menem, por un nuevo Poder Judicial, embargados sus bienes y le darán domiciliaria.
Que tenga larga vida para poder verlo sentenciado.
#AcuerdoconelFMI 
#PresosLosQueremos"
28,#BuenViernes #AcuerdoconelFMI nuestra agrupación @JUNTOSXQUILMES Que conduce @garciaangeld lo dijo en diciembre   fue una profecía @alferdez @alferdezprensa #Acuerdo #AcuerdoFMI @C5N https://t.co/Mw9sRNG3Yo
29,"Si ellos festejan el #AcuerdoconelFMI, significa que hicimos todo mal."
30,#AcuerdoconelFMI https://t.co/eo6S5LteWp
31,#AcuerdoconelFMI https://t.co/jb2Ph5pqpA
32,#AcuerdoconelFMI https://t.co/v1xwdHzQWM
33,#AcuerdoconelFMI https://t.co/qCVoNO0lai
34,#AcuerdoconelFMI https://t.co/M7TA9NLCak
35,#AcuerdoconelFMI https://t.co/3aZmH4mQBu
36,#AcuerdoconelFMI https://t.co/oOumwuOfuR
37,"Ahora hablan de letra chica... 
#AcuerdoconelFMI"
38,"@Articulo66Nica acá pueden encontrar la declaración e @Cele_Fierro del @MSTargentina seccional #argentina de la @isl_lis en el acto central de la movilización del 27E en contra del Pago de la Deuda Externa con #FMI y el #AcuerdoconelFMI del gob del FdT.

https://t.co/qLm5X2Lrlm https://t.co/j1lxTUsx1u"
39,"-¿Ese acuerdo es bueno? ¿Me aprobaron?
+¿Conoce un acuerdo bueno? Ha há.
No señor Presidente, es un acuerdo malo. #AcuerdoconelFMI https://t.co/btMxgKmDVD"
40,✌️ #FMI #AcuerdoconelFMI https://t.co/Mu7rDXhlb9
41,"Que pelotudo este tipo. Si estas al borde y das un paso para adelante,te caés. 
Los ladrones PJK no tienen metáforas. 
#AcuerdoconelFMI fue NO PAGAR. Siempre endeudandonos, y echandole las culpas a otros. https://t.co/DwSIZRVj9q"
42,"#AcuerdoconelFMI

Y el plan plurianual 🤷🏽‍♂️

Se cayó bajo la mesa del hambre 🤔"
43,#AcuerdoconelFMI https://t.co/ARfTgO7fDQ
44,"Tenía que ser el chavo del ocho... ☺️
#AcuerdoconelFMI 
La chava."
45,"@mgg_tyan @marcelopez2202 Veo que no conoces la definición de fuga de capitales.
Te educo.

Cuando sacas plata del circuito financiero, como en este caso. Se lo considera como fuga de Capitales

Hay que leer mas...cumpa

Besitos
#AcuerdoconelFMI 
#ElPeorPresidenteDeLaHistoria 
Mentiroso"
46,"El faldero AF mandado x la fámula castrista cfk,no le paga nada al FMI,es decir patea y aumenta la deuda.
Hasta ayer la decadencia 🇦🇷 era culpa d la deuda c el FMI. Parece q ahora ya no. Los ladrones PJK no sé d q se disfrazarán cuando esto termine de estallar

#AcuerdoconelFMI"
47,"El concepto está instalado... Gracias a Dios es un Feminista, pañuelo verde y peronista bueno, lo siento pero ya es costumbre... 😂 
#AcuerdoconelFMI https://t.co/rHwBzrrZIY"
48,"@gabrielapiovan2 Si arreglábamos volteaban el gobierno.
Otro 2001.
#AcuerdoconelFMI"
49,"#AcuerdoconelFMI
Macri Nunca Más https://t.co/fdQIfhdMiX"
50,"Qué grande Juan Amador Sánchez, no sabía que estaba laburando para la UE. #AcuerdoconelFMI https://t.co/ysMlsDKsyx"
51,¿Cómo debería votar la oposición si el #AcuerdoconelFMI se envía al Congreso?
52,"@claudiosavoia Tiene lógica. Ahora se vienen dos años de mentiras totales y una realidad escandalosa. Hay un periodismo que se resuelve con dinero, el otro, con persecución. 
#fmi #AcuerdoconelFMI #ElPeorPresidenteDeLaHistoria"
53,#AcuerdoconelFMI https://t.co/wYgpUAZaIf
54,"Sueñan con un nuevo 2001. Fueron el peor gobierno, son la peor oposición. 

#AcuerdoconelFMI"
55,"Mira lo buena que habrá sido la renegociación que hizo Macri de la deuda que dejó el kirchnerismo, que hoy pueden pagarla y renegociarla aún después del desastre económico que hicieron en estos últimos dos años.
#AcuerdoconelFMI"
56,"#oposición 
antes de pronunciarse sobre #AcuerdoconelFMI  , por que no esperan detalles de este gobierno?  
en el #Congreso
si algo caracteriza a este gobierno es la falta de transparencia y la mentira 
No hablen hasta tener detalles"
57,@JorArguello @alferdez @IMFNews #AcuerdoconelFMI 🇦🇷 #GraciasAlberto Una deuda contraída y fugada por Macri.
58,"#Larrata pretendía un escenario calmo para 2023, y que su única preocupación fuera vencer a Morales y Bullrich en las internas.
Se le complicó al intendente...

#AcuerdoconelFMI 
#PresosLosQueremos https://t.co/qOd141fkrQ"
59,"#ElPeorPresidenteDeLaHistoria te anuncia como un gran logro, que el #AcuerdoconelFMI no le exige llegar al déficit cero.
Y después los perioprogres, le siguen preguntando a Milei cual es la definición de ""Casta"".. https://t.co/5bKgs3NN6q"
60,"El problema de la deuda con el fondo la crearon ellos y lo solucionamos nosotros. 
La única verdad es la realidad.
#AcuerdoconelFMI https://t.co/2NrmRk8XXx"
61,#AcuerdoconelFMI ☺️ te está buscando... https://t.co/lFATxP7DHF
62,"#QuePaguenSinChistar ,que se reimplante el Impuesto a las Grandes Fortunas por los años que dura el acuerdo con el FMI, eso sería invertir la carga hacia los que mas tienen y ganan.. eso sería justicia..#AcuerdoconelFMI"
63,#AcuerdoconelFMI Cambiamos deuda tomada con un plan de pagos imposible por deuda con un plan de pagos mas realista. Tiene que ser muy caradura quien habiendo apoyado el anterior endeudamiento cuestione este. https://t.co/wuw8aMDP7h
64,"Con dos pandemias encima, la macrista y la #COVID 
Imaginate un mundo con todos los fugadores presos...

#AcuerdoconelFMI 
#1FMarchamosALaCorte https://t.co/sp8diDt4CR"
65,"1 año esperando que llegue a la #Argentina la #YAMAHA #Nmax connected.
Lo anuncian en sus redes sociales inmediatamente después del #AcuerdoconelFMI.
EL MIEDO NO ES ZONZO.
Somos rehenes del #GobiernoDeInutiles"
66,@m_ebrard @alferdez #AcuerdoconelFMI 🇦🇷 #GraciasAlberto Al FMI lo trajo Macri a la Argentina.
67,"@marcelopez2202 El #AcuerdoconelFMI es solo el blanqueo de la deuda asumida por Macri Cambiemos.

La forma en que vamos a pagar todos los dolares que quedaron aqui y los que se fugaron.

No mucho para festejar."
68,@chichocisneros6 #AcuerdoconelFMI https://t.co/P7QctW55he
69,@chichocisneros6 #AcuerdoconelFMI https://t.co/NlQXG18UBb
70,"los troskos, que no saben lo que es gobernar, también cierren el orto. Nadie se banca lo que sería la vida sin #AcuerdoconelFMI"
71,"dadas asi las cosas, más vale que para este ejercicio 2022, habrá que reimplantar otro Impuestos a las grandes fortunas, ahora si del 1 % del P.B.I... y que paguen sin chistar... querían un acuerdo? bueno, los patrones  .. a arremangarse... #AcuerdoconelFMI"
72,"🇧🇷🤝| #MundoRED92 | #AcuerdoconelFMI | @LulaOficial 

Lula felicitó a Alberto Fernández por ""velar por el desarrollo y la justicia social del pueblo"" argentino

El exmandatario brasilero celebró la medida porque ""preserva la soberanía"" del país.

https://t.co/j0N17mMZna"
73,"Opinan como si nunca hubiesen gobernado, no se hacen cargo de absolutamente ninguna de las cagadas que hicieron, la peor oposición del mundo. #Acuerdo #AcuerdoconelFMI"
74,#AcuerdoconelFMI https://t.co/AuUodifkHC
