"","residencia_provincia_nombre","Total_14_dias"
"1","Buenos Aires",380621
"2","CABA",133334
"3","Catamarca",10041
"4","Chaco",23493
"5","Chubut",5983
"6","Córdoba",75343
"7","Corrientes",9933
"8","Entre Ríos",13560
"9","Formosa",21757
"10","Jujuy",12733
"11","La Pampa",9066
"12","La Rioja",1308
"13","Mendoza",22822
"14","Misiones",4877
"15","Neuquén",11242
"16","Río Negro",9289
"17","Salta",15186
"18","San Juan",32326
"19","San Luis",15788
"20","Santa Cruz",5409
"21","Santa Fe",60677
"22","Santiago del Estero",8896
"23","SIN ESPECIFICAR",6739
"24","Tierra del Fuego",2375
"25","Tucumán",30049
