"","residencia_provincia_nombre","Cantidad"
"1","Buenos Aires",9096903
"2","CABA",4684905
"3","Catamarca",244991
"4","Chaco",591262
"5","Chubut",272941
"6","Córdoba",2936128
"7","Corrientes",454549
"8","Entre Ríos",372934
"9","Formosa",698418
"10","Jujuy",315292
"11","La Pampa",312550
"12","La Rioja",142419
"13","Mendoza",729486
"14","Misiones",132993
"15","Neuquén",329009
"16","Río Negro",332451
"17","Salta",407289
"18","San Juan",417123
"19","San Luis",376009
"20","Santa Cruz",288289
"21","Santa Fe",1639736
"22","Santiago del Estero",329711
"23","SIN ESPECIFICAR",143428
"24","Tierra del Fuego",102090
"25","Tucumán",1038201
