DIA_TRANSPORTE;AMBA;MOTIVO_ATSF;GENERO;TIPO_TRANSPORTE;CANT_TRJ;DATO_PRELIMINAR
2020-01-01;NO;;;COLECTIVO;48306;NO
2020-01-01;NO;;;LANCHA;0;NO
2020-01-01;NO;;;SUBTE;0;NO
2020-01-01;NO;;;TOTAL;48306;NO
2020-01-01;NO;;;TREN;0;NO
2020-01-01;NO;;F;COLECTIVO;20057;NO
2020-01-01;NO;;F;LANCHA;9;NO
2020-01-01;NO;;F;SUBTE;0;NO
2020-01-01;NO;;F;TOTAL;20066;NO
2020-01-01;NO;;F;TREN;0;NO
2020-01-01;NO;;M;COLECTIVO;16260;NO
2020-01-01;NO;;M;LANCHA;14;NO
2020-01-01;NO;;M;SUBTE;0;NO
2020-01-01;NO;;M;TOTAL;16274;NO
2020-01-01;NO;;M;TREN;0;NO
2020-01-01;NO;AUH;F;COLECTIVO;11000;NO
2020-01-01;NO;AUH;F;LANCHA;2;NO
2020-01-01;NO;AUH;F;SUBTE;0;NO
2020-01-01;NO;AUH;F;TOTAL;11002;NO
2020-01-01;NO;AUH;F;TREN;0;NO
2020-01-01;NO;AUH;M;COLECTIVO;233;NO
2020-01-01;NO;AUH;M;LANCHA;0;NO
2020-01-01;NO;AUH;M;SUBTE;0;NO
2020-01-01;NO;AUH;M;TOTAL;233;NO
2020-01-01;NO;AUH;M;TREN;0;NO
2020-01-01;NO;JUBILACION;F;COLECTIVO;11129;NO
2020-01-01;NO;JUBILACION;F;LANCHA;8;NO
2020-01-01;NO;JUBILACION;F;SUBTE;0;NO
2020-01-01;NO;JUBILACION;F;TOTAL;11137;NO
2020-01-01;NO;JUBILACION;F;TREN;0;NO
2020-01-01;NO;JUBILACION;M;COLECTIVO;5847;NO
2020-01-01;NO;JUBILACION;M;LANCHA;6;NO
2020-01-01;NO;JUBILACION;M;SUBTE;0;NO
2020-01-01;NO;JUBILACION;M;TOTAL;5853;NO
2020-01-01;NO;JUBILACION;M;TREN;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;F;COLECTIVO;2494;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;F;LANCHA;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;F;SUBTE;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;F;TOTAL;2494;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;F;TREN;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;M;COLECTIVO;992;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;M;LANCHA;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;M;SUBTE;0;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;M;TOTAL;992;NO
2020-01-01;NO;MONOTRIBUTO SOCIAL;M;TREN;0;NO
2020-01-01;NO;OTRO;F;COLECTIVO;420;NO
2020-01-01;NO;OTRO;F;LANCHA;0;NO
2020-01-01;NO;OTRO;F;SUBTE;0;NO
2020-01-01;NO;OTRO;F;TOTAL;420;NO
2020-01-01;NO;OTRO;F;TREN;0;NO
2020-01-01;NO;OTRO;M;COLECTIVO;282;NO
2020-01-01;NO;OTRO;M;LANCHA;0;NO
2020-01-01;NO;OTRO;M;SUBTE;0;NO
2020-01-01;NO;OTRO;M;TOTAL;282;NO
2020-01-01;NO;OTRO;M;TREN;0;NO
2020-01-01;NO;PENSION;F;COLECTIVO;6182;NO
2020-01-01;NO;PENSION;F;LANCHA;0;NO
2020-01-01;NO;PENSION;F;SUBTE;0;NO
2020-01-01;NO;PENSION;F;TOTAL;6182;NO
2020-01-01;NO;PENSION;F;TREN;0;NO
2020-01-01;NO;PENSION;M;COLECTIVO;2829;NO
2020-01-01;NO;PENSION;M;LANCHA;1;NO
2020-01-01;NO;PENSION;M;SUBTE;0;NO
2020-01-01;NO;PENSION;M;TOTAL;2830;NO
2020-01-01;NO;PENSION;M;TREN;0;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;COLECTIVO;3599;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;LANCHA;0;NO
