,text
0,"#VaccinationCertificates #CertificatsDeVaccination
#CertificadosDeVacunacion #PaseSanitario 
#PublicHealth #Pandemic 
#France #Macron
Integración Digital Revista : La importancia del pase sanitario : https://t.co/rmxtjSg3hr"
1,"¿Cómo es el protocolo para #Expoagro2022?😷
Se pedirá #PaseSanitario, y en caso de no tenerlo se solicitará un test de antígenos con muestra tomada 72 hs antes.

@Expoagrocom @YPFAgro https://t.co/l0HQacZH2G"
2,"@LuisBaldasarre @infobae Mirá... 
Hay otros siguiendo los pasos de los suecos... 
Mientras, acá tratan de imponer un ""cambio de tapaboca por barbijo"" y un #PaseSanitario que no sirve ni para espantar moscas

https://t.co/rGhJeLoFMw"
3,"La UNS no pedirá pase sanitario - https://t.co/jQZ6ETighb 
#Uns #Coronavirus #pasesanitario"
4,"@SilvanaGiudici @clalejrios No sé lo debe exigir en nada.
El #pasesanitario es inconstitucional.Quita derechos constitucionales a los ciudadanos.
#NoAlPaseSanitarioArgentina"
5,#COVID19 #Covid_19 #COVIDPERSISTENTE #COVIDIOTS #pasesanitario #PLANdemia https://t.co/hlxweElMgF
6,Denuncian penalmente a Kicillof y Ustarroz por imponer el pase sanitario @KicillofOK @WadoDeCorrido @JuanIUstarroz https://t.co/2cr87qF9Bj #Mercedes #PaseSanitario vía @RealpolitikOK
7,"¿Es efectivo el #pasesanitario 📲 para aumentar 📈 el nivel de #vacunación 💉?

🌎 Mientras países como Austria y Ecuador imponen la vacunación obligatoria, algunos apuestan al pase sanitario para fomentar la vacunación.
🧑‍💻 @ivooeguizabal. https://t.co/afB0MQxFSp"
8,"#BuenMiércoles 🌻😉
#BuenDía
¿Unos #Mates?🫖🧉🍪🍯🍞#HermosaMañana de #Sol🌞en #Baires🏙️

#VacunateYCuidate💉💪🏻😷✌🏻#VacunacionCompleta #PaseSanitario #COVID19 #Delta #Omicron

#FelizMiércoles, #Salud y #BuenaSemana para #Todos🌞
#Argentina🇦🇷"
9,@radiomitre Julieta Ortega tendría que estar a favor de las marchas anti #PaseSanitario por son futuros espectadores...
10,"#Educación #PaseSanitario
@faapura ""No habrá muchas diferencias en cuanto al año pasado. Va a persistir el barbijo dentro de las aulas, y fortalecer la vacunación, para evitar los aislamientos. Se termina con las burbujas, por eso será necesaria la ventilación"""
11,"#Educación #PaseSanitario
@faapura ""Hemos estado trabajando en los nuevos protocolos llamados aula segura, con ventilación, barbijos, y cuestiones epidemiológica. Las medidas del Min. De Salud de Nación son un paraguas para las provincias y a partir de allí se decide"""
12,"#TresArroyos
#PaseSanitario
De todos modos, aclararon que desde la institución incentivarán a los estudiantes para que tengan completo el esquema de vacunación anticovid. Ya hay más de 500 inscriptos de cara al ciclo lectivo 2022
https://t.co/p9PP8G5Mx8"
13,Denuncian penalmente a Kicillof y Ustarroz por imponer el pase sanitario @KicillofOK @WadoDeCorrido @JuanIUstarroz https://t.co/xBCNvwCzlZ #Mercedes #PaseSanitario vía @RealpolitikOK
14,Alguien sabe si PIDEN #PaseSanitario para ir a la cancha  a ver #BOCA vs @clubaldosivi ?
15,"#LoQueTenesQueSaberAntesDeSalir

⛅ Mitad de semana. La máxima sería de 32° 

💉Ayer se aprobó prórroga del #PaseSanitario en #Tucuman. La medida quedó establecida para lo que resta del mes de febrero

🍕¿Hoy se come pizza? cada 9 de febrero se celebra el Día Mundial de la #Pizza https://t.co/PiQjatDPbc"
