"","FECHA_ADMINISTRACION","GRUPO_ETARIO","GENERO","VACUNA","TIPO_EFECTOR","DOSIS_1","DOSIS_2","ID_CARGA","DOSIS_3"
"1",2021-02-11,"51 a 60","M","Sputnik","Público nacional",1,4,NA,0
"2",2021-02-11,"61 a 70","F","Sputnik","Privado",20,0,NA,0
"3",2021-02-11,"61 a 70","F","Sputnik","Público",39,1,NA,0
"4",2021-02-11,"61 a 70","F","Sputnik","Público nacional",2,1,NA,0
"5",2021-02-11,"61 a 70","M","Sputnik","Privado",24,0,NA,0
"6",2021-02-11,"61 a 70","M","Sputnik","Público",28,3,NA,0
"7",2021-02-11,"61 a 70","M","Sputnik","Público nacional",1,1,NA,0
"8",2021-02-11,"71 a 80","F","Sputnik","Privado",2,0,NA,0
"9",2021-02-11,"71 a 80","F","Sputnik","Público",6,0,NA,0
"10",2021-02-11,"71 a 80","M","Sputnik","Privado",7,0,NA,0
"11",2021-02-11,"71 a 80","M","Sputnik","Público",4,0,NA,0
"12",2021-02-11,"81 a 90","M","Sputnik","Público",1,0,NA,0
"13",2021-02-12,"30 o menos","F","Sputnik","Privado",44,27,NA,0
"14",2021-02-12,"30 o menos","F","Sputnik","Público",46,33,NA,0
"15",2021-02-12,"30 o menos","F","Sputnik","Público nacional",4,5,NA,0
"16",2021-02-12,"30 o menos","M","Sputnik","Privado",25,14,NA,0
"17",2021-02-12,"30 o menos","M","Sputnik","Público",12,17,NA,0
"18",2021-02-12,"30 o menos","M","Sputnik","Público nacional",1,5,NA,0
"19",2021-02-12,"31 a 40","F","Sputnik","Privado",118,51,NA,0
"20",2021-02-12,"31 a 40","F","Sputnik","Público",67,71,NA,0
"21",2021-02-12,"31 a 40","F","Sputnik","Público nacional",7,22,NA,0
"22",2021-02-12,"31 a 40","M","Sputnik","Privado",69,23,NA,0
"23",2021-02-12,"31 a 40","M","Sputnik","Público",36,29,NA,0
"24",2021-02-12,"31 a 40","M","Sputnik","Público nacional",5,8,NA,0
"25",2021-02-12,"41 a 50","F","Sputnik","Privado",85,36,NA,0
"26",2021-02-12,"41 a 50","F","Sputnik","Público",67,65,NA,0
"27",2021-02-12,"41 a 50","F","Sputnik","Público nacional",2,24,NA,0
"28",2021-02-12,"41 a 50","M","Sputnik","Privado",34,19,NA,0
"29",2021-02-12,"41 a 50","M","Sputnik","Público",32,23,NA,0
"30",2021-02-12,"41 a 50","M","Sputnik","Público nacional",3,7,NA,0
"31",2021-02-12,"51 a 60","F","Sputnik","Privado",33,17,NA,0
"32",2021-02-12,"51 a 60","F","Sputnik","Público",50,27,NA,0
"33",2021-02-12,"51 a 60","F","Sputnik","Público nacional",4,8,NA,0
"34",2021-02-12,"51 a 60","M","Sputnik","Privado",35,12,NA,0
"35",2021-02-12,"51 a 60","M","Sputnik","Público",20,19,NA,0
"36",2021-02-12,"51 a 60","M","Sputnik","Público nacional",2,4,NA,0
